score,runs_scored,balls_faced,strike_rate,fours,sixes,opposition,ground,date,odi_number
DNB,-,-,-,-,-,v New Zealand,Napier,23/01/2019,ODI # 4082
48*,48,33,145.45,5,1,v New Zealand,Mount Maunganui,26/01/2019,ODI # 4085
1,1,6,16.66,0,0,v New Zealand,Wellington,03/02/2019,ODI # 4092
59*,59,72,81.94,6,1,v Australia,Hyderabad (Deccan),02/03/2019,ODI # 4102
0,0,1,0,0,0,v Australia,Nagpur,05/03/2019,ODI # 4106
26,26,42,61.9,2,1,v Australia,Ranchi,08/03/2019,ODI # 4109
34,34,46,73.91,2,0,v South Africa,Southampton,05/06/2019,ODI # 4150
27,27,14,192.85,3,1,v Australia,The Oval,09/06/2019,ODI # 4155
1,1,2,50,0,0,v Pakistan,Manchester,16/06/2019,ODI # 4161
28,28,52,53.84,3,0,v Afghanistan,Southampton,22/06/2019,ODI # 4169
56*,56,61,91.8,3,2,v West Indies,Manchester,27/06/2019,ODI # 4175
42*,42,31,135.48,4,1,v England,Birmingham,30/06/2019,ODI # 4179
35,35,33,106.06,4,0,v Bangladesh,Birmingham,02/07/2019,ODI # 4182
DNB,-,-,-,-,-,v Sri Lanka,Leeds,06/07/2019,ODI # 4187
50,50,72,69.44,1,1,v New Zealand,Manchester,09/07/2019,ODI # 4190
